"表章項目 コード","表章項目","男女別 コード","男女別","全国 コード","全国","年齢各歳 コード","年齢各歳","/人口及び人口増減","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈"
"008","人口【人】","000","男女計","00000","全国","01000","総数","","126932772","","***","","***","","***","","***","","1342578","","150727","","***","","126706210","","***","","***","","***","","125020252","","***","","***","","***","","***","","1335658","","4226","","11085","","124648471","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","02001","0歳未満","","965289","","***","","***","","***","","***","","1367","","-1131","","***","","-","","***","","***","","***","","948566","","***","","***","","***","","***","","1332","","220","","19","","-","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01001","0歳","","1001518","","***","","***","","***","","***","","600","","-723","","***","","962791","","***","","***","","***","","986473","","***","","***","","***","","***","","591","","-773","","92","","947473","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01002","1歳","","959750","","***","","***","","***","","***","","237","","214","","***","","1000195","","***","","***","","***","","946868","","***","","***","","***","","***","","231","","-400","","91","","985201","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01003","2歳","","974069","","***","","***","","***","","***","","131","","685","","***","","959727","","***","","***","","***","","959840","","***","","***","","***","","***","","130","","-23","","102","","946328","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01004","3歳","","1011175","","***","","***","","***","","***","","109","","412","","***","","974623","","***","","***","","***","","997521","","***","","***","","***","","***","","107","","-134","","108","","959789","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01005","4歳","","1016944","","***","","***","","***","","***","","91","","480","","***","","1011478","","***","","***","","***","","1003606","","***","","***","","***","","***","","89","","28","","75","","997388","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01006","5歳","","1044909","","***","","***","","***","","***","","89","","312","","***","","1017333","","***","","***","","***","","1032955","","***","","***","","***","","***","","87","","44","","121","","1003620","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01007","6歳","","1048049","","***","","***","","***","","***","","77","","566","","***","","1045132","","***","","***","","***","","1036826","","***","","***","","***","","***","","75","","58","","129","","1033033","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01008","7歳","","1059407","","***","","***","","***","","***","","59","","757","","***","","1048538","","***","","***","","***","","1048486","","***","","***","","***","","***","","58","","277","","121","","1036938","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01009","8歳","","1079363","","***","","***","","***","","***","","81","","787","","***","","1060105","","***","","***","","***","","1068673","","***","","***","","***","","***","","78","","314","","102","","1048826","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01010","9歳","","1071489","","***","","***","","***","","***","","55","","786","","***","","1080069","","***","","***","","***","","1061161","","***","","***","","***","","***","","55","","222","","114","","1069011","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01011","10歳","","1063681","","***","","***","","***","","***","","67","","1065","","***","","1072220","","***","","***","","***","","1053680","","***","","***","","***","","***","","66","","552","","120","","1061442","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01012","11歳","","1065710","","***","","***","","***","","***","","71","","1205","","***","","1064679","","***","","***","","***","","1056303","","***","","***","","***","","***","","71","","677","","119","","1054286","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01013","12歳","","1103900","","***","","***","","***","","***","","89","","766","","***","","1066844","","***","","***","","***","","1094591","","***","","***","","***","","***","","89","","324","","147","","1057028","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01014","13歳","","1123183","","***","","***","","***","","***","","109","","737","","***","","1104577","","***","","***","","***","","1114102","","***","","***","","***","","***","","106","","352","","160","","1094973","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01015","14歳","","1157220","","***","","***","","***","","***","","162","","1241","","***","","1123811","","***","","***","","***","","1147655","","***","","***","","***","","***","","162","","526","","185","","1114508","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01016","15歳","","1173931","","***","","***","","***","","***","","181","","609","","***","","1158299","","***","","***","","***","","1163724","","***","","***","","***","","***","","179","","-401","","115","","1148204","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01017","16歳","","1201042","","***","","***","","***","","***","","229","","1257","","***","","1174359","","***","","***","","***","","1189689","","***","","***","","***","","***","","227","","-312","","141","","1163259","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01018","17歳","","1202750","","***","","***","","***","","***","","261","","9836","","***","","1202070","","***","","***","","***","","1190612","","***","","***","","***","","***","","260","","671","","144","","1189291","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01019","18歳","","1228960","","***","","***","","***","","***","","305","","19538","","***","","1212325","","***","","***","","***","","1208775","","***","","***","","***","","***","","296","","-3040","","150","","1191167","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01020","19歳","","1233072","","***","","***","","***","","***","","353","","15571","","***","","1248193","","***","","***","","***","","1198583","","***","","***","","***","","***","","349","","-4330","","144","","1205589","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01021","20歳","","1225673","","***","","***","","***","","***","","400","","13584","","***","","1248290","","***","","***","","***","","1182359","","***","","***","","***","","***","","388","","-1801","","213","","1194048","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01022","21歳","","1242426","","***","","***","","***","","***","","431","","18205","","***","","1238857","","***","","***","","***","","1194664","","***","","***","","***","","***","","414","","3159","","218","","1180383","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01023","22歳","","1238377","","***","","***","","***","","***","","428","","16008","","***","","1260200","","***","","***","","***","","1187533","","***","","***","","***","","***","","419","","1202","","185","","1197627","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01024","23歳","","1215013","","***","","***","","***","","***","","435","","11799","","***","","1253957","","***","","***","","***","","1159789","","***","","***","","***","","***","","421","","350","","153","","1188501","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01025","24歳","","1228357","","***","","***","","***","","***","","468","","6261","","***","","1226377","","***","","***","","***","","1173591","","***","","***","","***","","***","","455","","-604","","136","","1159871","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01026","25歳","","1221261","","***","","***","","***","","***","","445","","4269","","***","","1234150","","***","","***","","***","","1167027","","***","","***","","***","","***","","438","","-876","","193","","1172668","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01027","26歳","","1242495","","***","","***","","***","","***","","443","","3377","","***","","1225085","","***","","***","","***","","1185485","","***","","***","","***","","***","","430","","-856","","212","","1165906","","***","","***","","***",""
"008","人口【人】","000","男女計","00000","全国","01028","27歳","","1270414","","***","","***","","***","","***","","468","","2800","","***","","1245429","","***","","***","","***","","1216255","","***","","***","","***","","***","","450","","-468","","252","","1184411","","***","","***","","***",""
